id,name
pos_272,stock_plan_administrator
pos_273,ad_tech_lead
pos_274,content_manager
pos_275,sqe
pos_276,project
pos_277,product_designer
pos_278,user_interface_designer
pos_279,user_experience_designer
pos_280,director_of_program_management
pos_281,senior_system_architect
pos_282,qc_or_quality
pos_283,event_associate
pos_284,event_support
pos_285,event_corrdinator
pos_286,event_assistant
pos_287,senior_cloud_developer
pos_288,human_factor_engineer
pos_289,ux_research
pos_290,user_experience_research
pos_291,ux_researcher
pos_292,user_experience_researcher
pos_293,user_research
pos_294,user_reseacher
pos_295,user_research_coordinator
pos_296,quality_system
pos_297,quality_assurances
pos_298,capa_sme
pos_299,development
pos_300,process
pos_301,manufacture
pos_302,submission
pos_303,financial_plan_and_analysis_manager
pos_304,manager_financial_plan
pos_305,fpanda_finance_manager
pos_306,finance_manager
pos_307,clinical_data
pos_308,pharmacovigilance
pos_309,drug_safety
pos_310,manager_or_director
pos_311,compatibility_lead
pos_312,test_lead
pos_313,qa_lead
pos_314,quality_lead
pos_315,software_lead
pos_316,compatibility_manager
pos_317,test_manager
pos_318,software_manager
pos_319,regulatory
pos_320,in_house_cra
pos_321,cra
pos_322,biostatistician
pos_323,statistician
pos_324,clinical_research_associate
pos_325,clinical_research_coordinator
pos_326,clinical_research_assistant
pos_327,clinical_research_specialist
pos_328,clinical_site_monitor
pos_329,clinical_monitor_associate
pos_330,clinical_research_monitor_associate
pos_331,inhouse_clinical_operations_associate
pos_332,quality_assurance_auditor
pos_333,gcp_auditor
pos_334,qa_auditor
pos_335,quality_auditor
pos_336,director_of_technology
pos_337,development_director
pos_338,director_of_engineer
pos_339,technical_director
pos_340,development_manager
pos_341,clinical_manager
pos_342,clinical_operations_manager
pos_343,clinical_team_manager
pos_344,clinical_research_manager
pos_345,chief_of_staff
pos_346,qa_document_control
pos_347,qa_change_control
pos_348,finance_director
pos_349,fpanda_director
pos_350,quality_asurance
pos_351,art_dr
pos_352,ios_software_developer
pos_353,ios_developer
pos_354,hr_manager
pos_355,data_engineer
pos_356,web
pos_357,product_market
pos_358,frontend_or_web
pos_359,ba
pos_360,presales
pos_361,sales_engineer
pos_362,sales_consultant
pos_363,pre_sales
pos_364,presale
pos_365,specialist
pos_366,analyst
pos_367,analyst_chemistry
pos_368,analytical_chemist
pos_369,analyst_chemist
pos_370,analytical_chemistry
pos_371,principal_consultant
pos_372,pci_qsa_consultant
pos_373,inside_sales
pos_374,insidesales
pos_375,insidesale
pos_376,telesales
pos_377,presale_or_presales_or
pos_378,head
pos_379,senior
pos_380,principal
pos_381,vp_sales
pos_382,manage_director
pos_383,graphic_design
pos_384,visual_design
pos_385,qa_engineer
pos_386,quality_assurance_engineer
pos_387,quality_engineer
pos_388,clinical_operation_manager
pos_389,clinical_trials_manager
pos_390,medical_writer
pos_391,medical_write
